,한글이름,영어이름,한글정보,영어정보,한글정보2,영어정보2,한글정보3,영어정보3,아이디,이미지,체력,공격,방어,특수공격,특수방어,스피드,타입
11,단데기,Metapod,번데기포켓몬,Cocoon Pokémon,강철같이 단단한 껍질로 부드러운 몸을 보호하고 있다. 진화할 때까지 가만히 참고 있다.,"This POKéMON is vulnerable to attack while itsshell is soft, exposing its weak and tender body.",단단한 껍질로 둘러싸여 있지만 안은 부드럽기 때문에 강한 공격에는 버티지 못한다.,"Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack.",11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,50,20,55,25,25,30,bug
12,버터플,Butterfree,나비포켓몬,Butterfly Pokémon,꽃의 꿀을 매우 좋아한다. 약간의 꽃가루만으로 꽃밭이 있는 장소를 찾아낼 수 있다.,"In battle, it flaps its wings at high speed torelease highly toxic dust into the air.",매일 꿀을 모으러 다닌다. 다리의 솜털에 꿀을 발라 둥지로 가지고 가는 습성이 있다.,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,60,45,50,90,80,70,bug
13,뿔충이,Weedle,송충이포켓몬,Hairy Bug Pokémon,숲이나 풀밭에 많이 서식한다. 머리끝에 5cm 정도의 작고 날카로운 독침을 지니고 있다.,"Often found in forests, eating leaves.It has a sharp venomous stinger on its head.",머리에 날카로운 침을 지니고 있다. 우거진 숲이나 풀밭에 숨어 끊임없이 풀잎을 먹고 있다.,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,40,35,30,20,20,50,bug
14,딱충이,Kakuna,번데기포켓몬,Cocoon Pokémon,스스로는 거의 움직일 수 없지만 위험할 때는 단단해져서 몸을 보호하고 있는 것 같다.,"Almost incapable of moving, this POKéMON can onlyharden its shell to protect itself from predators.",스스로는 거의 움직일 수 없지만 위험해지면 침을 세워서 독을 뿜을 때도 있는 듯하다.,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.",14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,45,25,50,25,25,35,bug
15,독침붕,Beedrill,독벌포켓몬,Poison Bee Pokémon,양손과 엉덩이에 있는 3개의 독침으로 상대를 찌르고 찌르고 또 찌르며 공격한다.,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,양손과 엉덩이에 있는 3개의 독침으로 상대를 찌르고 찌르고 또 찌르며 공격한다.,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,65,90,40,45,80,75,bug
16,구구,Pidgey,아기새포켓몬,Tiny Bird Pokémon,숲이나 수풀에 많이 분포해 있다. 땅에서도 격렬한 날갯짓으로 모래를 뿌리기도 한다.,A common sight in forests and woods. It flaps itswings at ground level to kick up blinding sand.,얌전한 성격이라 습격당해도 반격하지 않고 모래를 뿌려서 몸을 지키는 경우가 많다.,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.",16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,40,45,40,35,35,56,normal
17,피죤,Pidgeotto,새포켓몬,Bird Pokémon,발톱이 발달해 있다. 먹이인 아라리를 잡아 100km 떨어져 있는 둥지까지 나른다.,"Very protective of its sprawling territorial area,this POKéMON will fiercely peck at any intruder.",어마어마한 체력의 소유자로 넓은 영역을 날아다니며 먼 곳까지 먹이를 찾으러 간다.,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,63,60,55,50,50,71,normal
18,피죤투,Pidgeot,새포켓몬,Bird Pokémon,먹이를 찾을 때 수면을 아슬아슬하게 미끄러지듯 날아 잉어킹 등을 움켜잡는다.,"When hunting, it skims the surface of water at highspeed to pick off unwary prey such as MAGIKARP.",마하2의 속도로 비행하여 먹이를 찾는다. 그 커다란 발톱은 무기로서도 두려움의 대상이다.,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.",18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,83,80,75,70,70,101,normal
19,꼬렛,Rattata,쥐포켓몬,Mouse Pokémon,먹을 것이 있는 곳이라면 어디서든 서식한다. 온종일 먹이를 찾아다닌다.,"Bites anything when it attacks. Small and veryquick, it is a common sight in many places.",2개의 이빨로 뭐든지 일단 갉고 본다. 1마리를 발견했다면 그곳에 40마리는 살고 있을 것이다.,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.",19,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,30,56,35,25,35,72,normal
20,레트라,Raticate,쥐포켓몬,Mouse Pokémon,계속 자라는 앞니를 갈아내려고 딱딱한 것을 갉는 습성이 있다. 벽돌로 된 벽도 갉아서 부순다.,It uses its whis­ kers to maintain its balance.It apparently slows down if they are cut off.,뒷다리에 달린 작은 물갈퀴로 강을 헤엄치는 이유는 물속에 있는 먹이를 잡기 위해서다.,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,55,81,60,50,70,97,normal
21,깨비참,Spearow,아기새포켓몬,Tiny Bird Pokémon,자신의 영역을 지키기 위해 작은 날개를 쳐서 바쁘게 주위를 날아 맴돈다.,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",높이 나는 것에 서투르다. 영역을 지키기 위해 맹렬한 스피드로 날아다닌다.,"Inept at flying high. However, it can fly around very fast to protect its territory.",21,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,40,60,30,31,31,70,normal
22,깨비드릴조,Fearow,부리포켓몬,Beak Pokémon,커다란 날개로 넓은 하늘을 계속 날 수 있다. 한 번도 내려앉지 않아도 괜찮다.,"With its huge and magnificent wings, it can keep aloftwithout ever having to land for rest.",옛날부터 살고 있는 포켓몬. 조금이라도 위험을 감지하면 하늘 높이 날아가 버린다.,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.",22,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,65,90,65,61,61,100,normal
23,아보,Ekans,뱀포켓몬,Snake Pokémon,성장할수록 점점 길어진다. 밤에는 나뭇가지에 몸을 돌돌 말고 쉰다.,"Moves silently and stealthily. Eats the eggs ofbirds, such as PIDGEY and SPEAROW, whole.",성장할수록 점점 길어진다. 밤에는 나뭇가지에 몸을 돌돌 말고 쉰다.,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.",23,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,35,60,44,40,54,55,poison
24,아보크,Arbok,코브라포켓몬,Cobra Pokémon,배의 무늬가 무서운 얼굴로 보인다. 약한 적은 그 무늬만 보고도 도망치고 만다.,It is rumored that the ferocious warning markingson its belly differ from area to area.,무서워 보이는 배의 무늬는 연구 결과 6종류 정도의 패턴이 확인되었다.,The frightening patterns on its belly have been studied. Six variations have been confirmed.,24,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,60,95,69,65,79,80,poison
25,피카츄,Pikachu,쥐포켓몬,Mouse Pokémon,꼬리를 세우고 주변의 상황을 살피다 보면 가끔 꼬리에 번개가 친다.,"When several of these POKéMON gather, theirelectricity could build and cause lightning storms.",서로의 꼬리를 붙여서 전기를 흐르게 하는 게 피카츄 사이의 인사법이다.,Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,35,55,40,50,50,90,electric
26,라이츄,Raichu,쥐포켓몬,Mouse Pokémon,전기가 모이면 근육이 자극되어 여느 때보다 공격적이 된다.,Its long tail serves as a ground to protect itself from its own high-voltage power.,전기 주머니가 텅 비면 꼬리를 똑바로 세워서 공기 중의 전기를 모은다.,"It can discharge bursts of electricity exceeding 100,000 volts— a single strike with that amount of power would incapacitate one of the Copperajah of my homeland.",26,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,60,90,55,90,80,110,electric
27,모래두지,Sandshrew,쥐포켓몬,Mouse Pokémon,지면에 구멍을 파고 산다. 자신에게 위험이 닥쳐오면 둥글게 말아서 몸을 보호한다.,Burrows deep underground in arid locationsfar from water. It only emerges to hunt for food.,땅을 파서 굴을 만든다. 땅속의 단단한 바위도 날카로운 발톱으로 부수며 파고들어 간다.,"It burrows into the ground to create its nest. If hard stones impede its tunneling, it uses its sharp claws to shatter them and then carries on digging.",27,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,50,75,85,20,30,40,ground
28,고지,Sandslash,쥐포켓몬,Mouse Pokémon,굉장한 기세로 지면을 파면 가시와 발톱이 부러져 버리지만 다음 날에는 바로 돋아나 있다.,Curls up into a spiny ball when threatened. Itcan roll while curled up to attack or escape.,날카로운 발톱으로 찍으며 나무에 오른다. 아래에서 기다리는 모래두지들에게 나무열매를 떨어뜨려 나눠준다.,"It climbs trees by hooking on with its sharp claws. Sandslash shares the berries it gathers, dropping them down to Sandshrew waiting below the tree.",28,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,75,100,110,45,55,65,ground
29,니드런♀,Nidoran♀,독침포켓몬,Poison Pin Pokémon,몸은 작지만 독침을 지니고 있기 때문에 주의가 필요하다. 암컷의 뿔이 더 작다.,"Although small, its venomous barbs render thisPOKéMON dangerous. The female has smaller horns.",단단한 앞니로 나무열매를 깨물어 먹는다. 뿔의 끝은 수컷보다 조금 둥그스름하다.,It uses its hard incisor teeth to crush and eat berries. The tip of a female Nidoran’s horn is a bit more rounded than the tip of a male’s horn.,29,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,55,47,52,40,40,41,poison
30,니드리나,Nidorina,독침포켓몬,Poison Pin Pokémon,암컷으로 성격은 온화하다. 입에서 내보내는 초음파는 상대를 혼란시키는 힘이 있다.,The female's horn develops slowly. Prefers physicalattacks such as clawing and biting.,무리에 위험이 닥치면 동료와 결속하여 초음파로 크게 합창한다.,"If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves.",30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,70,62,67,55,55,56,poison
31,니드퀸,Nidoqueen,드릴포켓몬,Drill Pokémon,비늘로 뒤덮인 튼튼한 몸으로 둥지의 입구를 막아 상대로부터 새끼들을 지킨다.,Its hard scales provide strong protection. Ituses its hefty bulk to execute powerful moves.,등의 가시 틈에 새끼를 태우고 달랜다. 이때는 독이 절대 나오지 않는다.,It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present.,31,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,90,92,87,75,85,76,poison
32,니드런♂,Nidoran♂,독침포켓몬,Poison Pin Pokémon,풀밭 위로 귀만 내어 주위의 낌새를 살핀다. 맹독의 뿔로 몸을 보호한다.,"Stiffens its ears to sense danger. The larger itshorns, the more powerful its secreted venom.",몸집은 작지만 용맹한 성질을 지녔다. 친한 암컷을 지키기 위해 몸을 던져 과감히 싸운다.,"Small but brave, this Pokémon will hold its ground and even risk its life in battle to protect the female it’s friendly with.",32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,46,57,40,40,40,50,poison
33,니드리노,Nidorino,독침포켓몬,Poison Pin Pokémon,신경질적이고 호전적이다. 체내의 아드레날린이 증가하면 독소의 농도도 높아진다.,An aggressive POKéMON that is quick to attack.The horn on its head secretes a powerful venom.,다이아몬드보다 단단한 뿔로 암석을 부수며 다닌다. 달의돌을 찾고 있는 것이다.,It’s nervous and quick to act aggressively. The potency of its poison increases along with the level of adrenaline present in its body.,33,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,61,72,57,55,55,65,poison
34,니드킹,Nidoking,드릴포켓몬,Drill Pokémon,돌처럼 딱딱한 피부와 길게 뻗은 뿔이 특징이다. 뿔에는 독이 있으니 주의해야 한다.,"It uses its powerful tail in battle to smash,constrict, then break the prey's bones.",날뛰기 시작하면 손쓸 수 없게 되지만 긴 세월 함께 지낸 니드퀸 앞에서는 온순해진다.,"Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn.",34,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,81,102,77,85,75,85,poison
35,삐삐,Clefairy,요정포켓몬,Fairy Pokémon,보름달 밤에 삐삐가 모여 춤을 추는 모습을 보면 행복해진다고 전해진다.,Its magical and cute appeal has many admirers.It is rare and found only in certain areas.,애교 있는 몸동작과 울음소리로 귀엽다고 많은 인기를 누리는 포켓몬. 그러나 좀처럼 눈에 띄지 않는다.,"It can be found in quiet mountain areas on a full moon's night. Its dancing and its tiny, faintly glowing wings confer upon it a lovely fairylike quality.",35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,70,45,48,60,65,35,fairy
36,픽시,Clefable,요정포켓몬,Fairy Pokémon,1km 전방에 떨어진 바늘 소리도 분간할 수 있는 우수한 귀를 가지고 있다. 조용한 산속에 살고 있다.,A timid fairy POKéMON that is rarely seen. Itwill run and hide the moment it senses people.,1km 앞에 떨어진 바늘 소리가 들릴 정도로 귀가 좋아 평소에는 조용한 곳에서 지낸다.,"Legend says that on clear, quiet nights, it listens for the voices of its kin living on the moon. I, too, often think of my homeland, so far away.",36,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,95,70,73,95,90,60,fairy
37,식스테일,Vulpix,여우포켓몬,Fox Pokémon,태어났을 때는 꼬리가 새하얗고 하나밖에 없다. 성장하면 끝이 갈라지며 꼬리 수가 늘어난다.,"At the time of birth, it has just one tail.The tail splits from its tip as it grows older.",6개의 꼬리는 자라면서 털의 결이 좋아지며 아름다워진다. 안으면 살짝 따듯하다.,"In its belly burns a fire, which Vulpix spits out in the form of fireballs. When young, this Pokémon has but one white tail. As the Pokémon matures, this single tail splits into six.",37,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,38,41,40,50,65,65,fire
38,나인테일,Ninetales,여우포켓몬,Fox Pokémon,황금빛으로 빛나는 털과 9개의 긴 꼬리를 지녔다. 1000년을 산다고 한다.,Very smart and very vengeful. Grabbing one ofits many tails could result in a 1000-year curse.,머리가 좋고 집념이 강하다. 장난으로 꼬리를 잡으면 1000년 동안 화를 입는다고 한다.,The coat of gleaming golden fur is quite magnificent. This species is said to store sacred power in its nine long tails and to live for a millennium.,38,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,73,76,75,81,100,100,fire
39,푸린,Jigglypuff,풍선포켓몬,Balloon Pokémon,동그랗고 커다란 눈동자로 유인하고 기분 좋은 노래를 불러 상대방을 잠들게 한다.,"When its huge eyes light up, it sings a mysteriouslysoothing melody that lulls its enemies to sleep.",목소리 파장을 자유자재로 바꾸어 들으면 반드시 잠드는 신비한 멜로디를 노래한다.,"By freely changing the wavelength of its voice, Jigglypuff sings a mysterious melody sure to make any listener sleepy.",39,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,115,45,20,45,25,20,normal
40,푸크린,Wigglytuff,풍선포켓몬,Balloon Pokémon,2마리가 바싹 붙어 있으면 서로의 털이 너무 기분 좋아서 떨어지지 않게 되어버린다.,"The body is soft and rubbery. When angered, it willsuck in air and inflate itself to an enormous size.",얇고 고운 털을 가졌다. 특히 이마에 동그랗게 말린 털은 하늘을 날 듯한 최고의 감촉을 지녔다.,"It’s proud of its fur, which is fine and delicate. In particular, the curl on its forehead has a texture that’s perfectly heavenly.",40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,140,70,45,85,50,45,normal
41,주뱃,Zubat,박쥐포켓몬,Bat Pokémon,입에서 내는 초음파로 두 눈이 없어도 주위의 장애물을 탐색할 수 있다.,Forms colonies in perpetually dark places. Usesultrasonic waves to identify and approach targets.,볕이 들지 않는 동굴에 산다. 아침이 되면 동료들끼리 모여 서로의 온기를 나누면서 잔다.,"Makes its home in gloomy caves. Atrophied eyes have left this Pokémon blind, so it scans its surroundings via sound waves that it emits from its mouth as it flies.",41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,40,45,35,30,40,55,poison
42,골뱃,Golbat,박쥐포켓몬,Bat Pokémon,물리면 끝이다. 죽을 정도로 피를 빨아들이기 때문에 무거워져서 날 수 없게 될 때도 있다.,"Once it strikes, it will not stop draining energyfrom the victim even if it gets too heavy to fly.",작은 다리로 능숙하게 걷는다. 자고 있는 먹이에게 살며시 다가가 이빨을 꽂아 피를 빨아먹는다.,It sinks its sharp fangs into other creatures and slurps up their blood. A closer look at the fangs reveals that they are hollow and akin to straws.,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,75,80,70,65,75,90,poison
43,뚜벅쵸,Oddish,잡초포켓몬,Weed Pokémon,낮에는 태양을 피하려고 차가운 땅속에 들어가 있다. 달빛을 쬐어 성장한다.,"During the day, it keeps its face buried in theground. At night, it wanders around sowing its seeds.",낮에는 태양을 피하기 위해 차가운 땅속에 들어가 있다. 달빛을 쬐어 성장한다.,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.",43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,45,50,55,75,65,30,grass
44,냄새꼬,Gloom,잡초포켓몬,Weed Pokémon,강렬한 악취가 난다! 그럼에도 불구하고 1000명에 한 명 정도 이 냄새를 즐겨 맡는 사람이 있다.,The fluid that oozes from its mouth isn't drool.It is a nectar that is used to attract prey.,침처럼 보이는 달콤한 꿀은 매우 끈적거려서 묻으면 좀처럼 떨어지지 않는다.,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.,44,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,60,65,70,85,75,40,grass
45,라플레시아,Vileplume,꽃포켓몬,Flower Pokémon,꽃잎이 클수록 많은 꽃가루를 만들어 내지만 머리가 무거워서 지쳐버린다고 한다.,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",꽃잎이 클수록 많은 꽃가루를 만들어 내지만 머리가 무거워서 지쳐버린다고 한다.,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.",45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,75,80,85,110,90,50,grass
46,파라스,Paras,버섯포켓몬,Mushroom Pokémon,벌레의 등에 돋아나 있는 것은 동충하초라는 버섯이다. 성장하면 버섯도 커진다.,Burrows to suck tree roots. The mushrooms on itsback grow by draw­ ing nutrients from the bug host.,구멍을 파서 나무뿌리로부터 영양을 섭취하지만 대부분은 등에 있는 버섯에게 빼앗긴다.,Sometimes seen at the foot of trees in humid forests. The mushrooms on its back—called tochukaso—are not present on infant specimens and instead emerge as Paras matures.,46,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,35,70,55,45,55,25,bug
47,파라섹트,Parasect,버섯포켓몬,Mushroom Pokémon,몸보다 큰 버섯이 파라섹트를 조종하고 있다. 독 포자를 여기저기 뿌린다.,A host-parasite pair in which the parasite mushroomhas taken over the host bug. Prefers damp places.,계속 진액을 빨아 먹혀서 이제는 벌레가 아니라 등에 있는 버섯이 생각하고 있는 듯하다.,"Mushroom-lacking specimens of this Pokémon lie unmoving in the forest, lending credence to the hypothesis that the large mushroom is in control of Parasect's actions.",47,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,60,95,80,60,80,30,bug
48,콘팡,Venonat,곤충포켓몬,Insect Pokémon,작은 눈이 많이 모여 큰 눈을 이루고 있다. 밤이 되면 불빛을 향해 모여든다.,Lives in the shadows of tall trees where iteats insects. It is attracted by light at night.,레이더 역할을 하는 큰 눈은 밝은 곳에서 보면 작은 눈이 모여서 이루어진 것임을 알 수 있다.,"Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes.",48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,60,55,50,40,55,45,bug
49,도나리,Venomoth,독나방포켓몬,Poison Moth Pokémon,흩뿌려진 날개 가루에 닿으면 몸의 감각이 이상해져서 똑바로 서 있을 수 없게 된다.,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.,날개의 인분은 몸에 묻으면 좀처럼 떨어지지 않는다. 게다가 거기에서 독성분이 스며든다.,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,70,65,60,90,75,90,bug
50,디그다,Diglett,두더지포켓몬,Mole Pokémon,피부가 매우 얇아서 빛을 쪼이게 되면 혈액이 데워져 약해진다.,Lives about one yard underground where it feeds onplant roots. It sometimes appears above ground.,얕은 땅속을 이동한다. 굴을 파며 다닌 곳은 지면이 솟아 있기 때문에 바로 알 수 있다.,"It burrows through the ground at a shallow depth. It leaves raised earth in its wake, making it easy to spot.",50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,10,55,25,35,45,95,ground
51,닥트리오,Dugtrio,두더지포켓몬,Mole Pokémon,땅속을 파고들어 가 상대가 방심하고 있을 때 다른 곳에서 공격한다.,A team of DIGLETT triplets. It triggers hugeearthquakes by burrowing 60 miles underground.,지하 100km까지 파고들 수 있는 파워를 간직한 세쌍둥이 디그다. 땅 밑은 아무도 모른다.,These Diglett triplets dig over 60 miles below sea level. No one knows what it’s like underground.,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,35,100,50,50,70,120,ground
52,나옹,Meowth,요괴고양이포켓몬,Scratch Cat Pokémon,한밤중에 움직이는 습성이 있다. 반짝반짝 빛나는 것을 발견하면 그에 못지않게 눈동자가 반짝인다.,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,이마의 금화가 더러워지지 않도록 바지런히 얼굴을 씻는다. 가라르의 나옹과는 사이가 나쁘다.,"It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures.",52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,40,45,35,40,40,90,normal
